Step,AgentID,State,Stand,Type
72,A1,DEPARTED,C30,PLB
72,A2,DEPARTED,C31,PLB
72,A3,DEPARTED,C32,PLB
72,A4,PARKED,C33,PLB
72,A5,PARKED,C30,PLB
72,A6,SCHEDULED,,
72,A7,SCHEDULED,,
72,A8,SCHEDULED,,
72,A9,SCHEDULED,,
72,A10,SCHEDULED,,
73,A1,DEPARTED,C30,PLB
73,A2,DEPARTED,C31,PLB
73,A3,DEPARTED,C32,PLB
73,A4,PARKED,C33,PLB
73,A5,PARKED,C30,PLB
73,A6,SCHEDULED,,
73,A7,SCHEDULED,,
73,A8,SCHEDULED,,
73,A9,SCHEDULED,,
73,A10,SCHEDULED,,
74,A1,DEPARTED,C30,PLB
74,A2,DEPARTED,C31,PLB
74,A3,DEPARTED,C32,PLB
74,A4,PARKED,C33,PLB
74,A5,PARKED,C30,PLB
74,A6,SCHEDULED,,
74,A7,SCHEDULED,,
74,A8,SCHEDULED,,
74,A9,SCHEDULED,,
74,A10,SCHEDULED,,
75,A1,DEPARTED,C30,PLB
75,A2,DEPARTED,C31,PLB
75,A3,DEPARTED,C32,PLB
75,A4,PARKED,C33,PLB
75,A5,PARKED,C30,PLB
75,A6,SCHEDULED,,
75,A7,SCHEDULED,,
75,A8,SCHEDULED,,
75,A9,SCHEDULED,,
75,A10,SCHEDULED,,
76,A1,DEPARTED,C30,PLB
76,A2,DEPARTED,C31,PLB
76,A3,DEPARTED,C32,PLB
76,A4,PARKED,C33,PLB
76,A5,PARKED,C30,PLB
76,A6,SCHEDULED,,
76,A7,SCHEDULED,,
76,A8,SCHEDULED,,
76,A9,SCHEDULED,,
76,A10,SCHEDULED,,
77,A1,DEPARTED,C30,PLB
77,A2,DEPARTED,C31,PLB
77,A3,DEPARTED,C32,PLB
77,A4,PARKED,C33,PLB
77,A5,PARKED,C30,PLB
77,A6,SCHEDULED,,
77,A7,SCHEDULED,,
77,A8,SCHEDULED,,
77,A9,SCHEDULED,,
77,A10,SCHEDULED,,
78,A1,DEPARTED,C30,PLB
78,A2,DEPARTED,C31,PLB
78,A3,DEPARTED,C32,PLB
78,A4,PARKED,C33,PLB
78,A5,PARKED,C30,PLB
78,A6,SCHEDULED,,
78,A7,SCHEDULED,,
78,A8,SCHEDULED,,
78,A9,SCHEDULED,,
78,A10,SCHEDULED,,
79,A1,DEPARTED,C30,PLB
79,A2,DEPARTED,C31,PLB
79,A3,DEPARTED,C32,PLB
79,A4,PARKED,C33,PLB
79,A5,PARKED,C30,PLB
79,A6,SCHEDULED,,
79,A7,SCHEDULED,,
79,A8,SCHEDULED,,
79,A9,SCHEDULED,,
79,A10,SCHEDULED,,
80,A1,DEPARTED,C30,PLB
80,A2,DEPARTED,C31,PLB
80,A3,DEPARTED,C32,PLB
80,A4,PARKED,C33,PLB
80,A5,PARKED,C30,PLB
80,A6,SCHEDULED,,
80,A7,SCHEDULED,,
80,A8,SCHEDULED,,
80,A9,SCHEDULED,,
80,A10,SCHEDULED,,
81,A1,DEPARTED,C30,PLB
81,A2,DEPARTED,C31,PLB
81,A3,DEPARTED,C32,PLB
81,A4,PARKED,C33,PLB
81,A5,PARKED,C30,PLB
81,A6,PARKED,C31,PLB
81,A7,SCHEDULED,,
81,A8,SCHEDULED,,
81,A9,SCHEDULED,,
81,A10,SCHEDULED,,
82,A1,DEPARTED,C30,PLB
82,A2,DEPARTED,C31,PLB
82,A3,DEPARTED,C32,PLB
82,A4,PARKED,C33,PLB
82,A5,PARKED,C30,PLB
82,A6,PARKED,C31,PLB
82,A7,SCHEDULED,,
82,A8,SCHEDULED,,
82,A9,SCHEDULED,,
82,A10,SCHEDULED,,
83,A1,DEPARTED,C30,PLB
83,A2,DEPARTED,C31,PLB
83,A3,DEPARTED,C32,PLB
83,A4,PARKED,C33,PLB
83,A5,PARKED,C30,PLB
83,A6,PARKED,C31,PLB
83,A7,SCHEDULED,,
83,A8,SCHEDULED,,
83,A9,SCHEDULED,,
83,A10,SCHEDULED,,
84,A1,DEPARTED,C30,PLB
84,A2,DEPARTED,C31,PLB
84,A3,DEPARTED,C32,PLB
84,A4,PARKED,C33,PLB
84,A5,PARKED,C30,PLB
84,A6,PARKED,C31,PLB
84,A7,SCHEDULED,,
84,A8,SCHEDULED,,
84,A9,SCHEDULED,,
84,A10,SCHEDULED,,
85,A1,DEPARTED,C30,PLB
85,A2,DEPARTED,C31,PLB
85,A3,DEPARTED,C32,PLB
85,A4,PARKED,C33,PLB
85,A5,PARKED,C30,PLB
85,A6,PARKED,C31,PLB
85,A7,SCHEDULED,,
85,A8,SCHEDULED,,
85,A9,SCHEDULED,,
85,A10,SCHEDULED,,
86,A1,DEPARTED,C30,PLB
86,A2,DEPARTED,C31,PLB
86,A3,DEPARTED,C32,PLB
86,A4,PARKED,C33,PLB
86,A5,PARKED,C30,PLB
86,A6,PARKED,C31,PLB
86,A7,SCHEDULED,,
86,A8,SCHEDULED,,
86,A9,SCHEDULED,,
86,A10,SCHEDULED,,
87,A1,DEPARTED,C30,PLB
87,A2,DEPARTED,C31,PLB
87,A3,DEPARTED,C32,PLB
